'a || a || venir de arriba abajo;desprenderse;caerse;desplomarse;caer;derrumbarse
ñembopyhare || a || anochecerse;oscurecerse;pernoctar;ser entretenido toda la noche;hacerse a la noche
ñembopyharepyte || a || llegar a la media noche
ñemborari || a || volverse arisco;avivarse;resultar vivaracho;animarse;hacer ostentación de agilidad o de bravura;hacer acrobácia
ñemboro'y || a || enfriarse el tiempo;enfriarse uno mismo;fingir tener frío
ñembosa'yju || a || empalidecerse;ponerse pálido;amarillearse;volverse amarillo;demacrarse
ñembota || a || golpearse;golpearse dos cuerpos entre sí;chocar;chocarse;estrellarse
ñembotarova || a || hacerse el loco
ñembotaryrýi || a || mesquinarse;cicatearse;hacerse el ávido;desearse con avidez
ñembotavyrai || a || hacerse el atolondrado
ñembotavyuka || a || dejarse engañar;ilusionarse;padecer engaño
ñembotiku || a || poner reparos o escrúpulos sin fundamentos
ñembotuja || a || envejecerse;hacerse del viejo;avejentarse;añejarse
ñembotuju || a || embarrarse;hacerse barro o lodo;enlodarse;podrirse;mancharse
ñembotuvicha || a || hacerse el grande;ser arrogante;engreirse;enorgullecerse;hacerse o tenerse por superior;fingir grandeza;ensoberbecerse
ñembou || a || ser enviado;enviarse;hacerse venir o enviar
ñembova || a || convertirse;transformarse;cambiarse;transmutarse;trocarse;metamorfosearse
ñembovai || a || afearse;deformarse;hacerse feo;empeorarse;tacharse o ponerse fallas y defectos
ñembovava || a || bambalearse;moverse como péndulo;oscilarse;agitarse;sacudirse;balancearse
ñembovera || a || lustrar;resplandecer
ñembovo || a || cortarse;partirse;cercenarse;rajarse;tajarse;tajearse;dividirse;ser dividido;ceccionarse en trozos
ñembovosa || a || hacerse bolsa
ñembovu || a || hincharse;inflarse;infatuarse;engreirse
ñembovy'a || a || alegrarse;divertirse;ser recreado
ñembovýro || a || hacerse el tonto;encapricharse
ñembovyvy || a || remendarse;coserse;suturarse;zurcirse
ñemboy'u || a || hacerse dar agua;darse de beber;ser abrevado;recibir agua
ñemboyke || a || ponerse de lado;ser puesto de lado;ladearse;esquivarse;zafarse
ñemboyku || a || derretirse
ñemboypi || a || secarse;enflaquecerse
ñemboyvy || a || ser enterrado;ser obsequiado con tierra;hacerse de tierra
ñemboyvytu || a || ventilarse o abanicarse;airearse;tomar el aire
ñembuekovia || a || cambiarse;ser cambiado;sustituirse;ser sustituido;reemplazarse;ser reeplazado;tener reemplazante;trocarse;relevarse;devolverse;pagarse;resarcirse;recompensarse
ñemboaguara/ñembyaguara || a || ser adulado;alabarse;halagarse;enamorarse
ñemboaje/ñembyaje || a || jurar;asentir;dar el sí a algo;aceptar
ñembyaju || a || aburrirse;fastidiarse;hartarse;saciarse;madurar;madurarse
ñemboapajere/ñembyapajeréi || a || revolcarse;revolverse
ñembyape || a || dar la espalda
ñemboaruru/ñembyaruru || a || remojarse;ponerse o ser puesto en remojo
ñembyasyeterei || a || estar consternado
ñembyasyuka/ñembyasyka || a || hacerse sentir por uno tristeza;hacerse el triste contando sus propias penas
ñembyaturu || a || acurrucarse;encogerse;aterirse
ñembuepoti/ñembyepoti || a || ser garroteado;ser pegado;castigarse o ser castigado
ñembuesarái/ñembyesarái || a || olvidarse;ser olvidado;hacerse el olvidado;trascordarse;no ser tenido en cuenta;ser pasado por alto
ñembuesavi/ñembyesavi || a || guiñar el ojo;guiñarse;hacer ojitos
ñeme'ẽ || a || darse;cederse;concederse;rendirse;transigir;otorgarse;achicarse
ñemeno || a || fornicar la mujer
ñemoaĝe || a || acelerarse;apresurarse;apurarse;activarse;darse prisa;afligirse
ñemoaĝui || a || acercarse;aproximarse;avecidarse;arrimarse
ñemoakãky'o || a || lavarse la cabeza;ser retado
ñemoakãraku || a || acalorarse;entusiasmarse;apasionarse;enamorarse
ñemoakãratĩ || a || ponerse los cuernos;traicionar
ñemoakate'ỹ || a || mesquinarse;celarse;apropiarse;cicatearse
ñemoakãva || a || inclinar o ladear la cabeza;ir con la cabeza inclinada sobre el hombro
ñemoambue || a || hacerse distinto;cambiarse;mudarse a otro;sufrir
ñemoanambusu || a || hacerse grueso
ñemoãngata || a || preocuparse;quebrantarse;estar preocupado;apenarse;entristecerse;acongojarse
ñemoãña || a || airarse;ponerse difícil o ruín con el prójimo;enojarse
ñemoapokytã || a || surgir un obstáculo o impedimento;anudarse;hacerse nudo
ñemoarandu || a || instruirse;ilustrarse;estudiar;aprender;aplicarse;hacerse sabio;adquirir sabiduría y cultura;hacerse de erudito;ser sobrador;pedantear;presumir de sapiencia
ñemoasãi || a || extenderse;expandirse;tenderse;desplegarse;esparcirse;desparramarse;propagarse;difundirse
ñemoatimói || a || columpiarse;mecerse;hamacarse
ñemoatyrõ || a || componerse;arreglarse;repararse;reponerse;remediarse;engalanarse;ataviarse;remendarse;ordenarse;restaurarse
ñemocha'ĩ || a || arrugarse;encogerse;fruncirse
ñemochumbe || a || ceñirse
ñemoendy || a || prender;incendiar
ñemoha'eño || a || aislarse;apartarse;separarse;retirarse;irse solo;retraerse
ñemohãimbiti || a || mostrar los dientes;sonrreirse enseñando los dientes en son de burla
ñemohatã || a || hacerse fuerte;resistirse;obstinarse;endurecerse;porfiarse
ñemohe'ẽ || a || endulzarse;salarse;manifestarse afirmativamente;expresarse con salamería
ñemohembe'y || a || hacerse a un lado;hacerse borde;orillarse
ñemohemby || a || hacer que sobre;reservarse
ñemohendajey || a || subdividir
ñemohendyva || a || dejarse crecer la barba;ponerse o colocarse barba postiza
ñemohenonde || a || ponerse adelante;adelantarse;preceder;pasar o irse
ñemoherãkuã || a || divulgarse;publicitarse;publicarse;difundirse
ñemoherãkuãngatu || a || hacerse célebre
ñemohesakã || a || aclararse;esclarecerse;hacerse claro;transparentarse;dilucidadarse
ñemohesapirĩ || a || parpadear
ñemoho'ysã || a || enfriarse
ñembohova'atã/ñemohova'atã || a || hacerse cara dura;hacerse el desfachatado
ñemohũ || a || ennegrecerse
ñemohu'ã || a || finalizar;clausurar;terminar;concluir
ñemohũnguy || a || acardenalarse;amoratarse
ñemohyakuã || a || perfumarse;aromatizarse;sahumarse
ñemohyvatã || a || ser hartado;hartarse;satisfacerse;saciarse
ñemoĩngoveypy || a || nacer
ñemoĩngue || a || hacer entrar
ñemoĩrũ || a || acompañarse;asociarse;unirse;ayuntarse;coligarse
ñemokã || a || secarse;enjugarse;marchitarse
ñemokãmbu || a || amamantarse;dar de mamar;lactarse;ser amamantado
ñemokãngy || a || fingir ser debil o lánguido;hacerse el débil
ñemokañy || a || perderse;ocultarse;ser ocultado;esconderse;encubrirse
ñemokarãpa || a || arquearse;encorvarse;combarse;agacharse;doblarse
ñemokarẽ || a || fingir ser cojo;hacerse rengo;renguear;curvarse;doblarse;cogear;torcerse;retorcerse
ñemokirirĩ || a || ser reducido al silencio;hacerse el callado;fingir estar callado;ordenarse silencio;ponerse hermético
ñemokõ || a || tragarse;ser tragado o engullido;engullirse;deglutir;tomar bebida alcohólica
ñemoko'ẽ || a || tomarle a uno el día;ser entretenido o entretenerse
ñemokoni || a || contonearse;moverse en zig zag;zigzaguear ;serpentear;defenderse con ademanes de hurtar el cuerpo;esquivarse
ñemokonimba || a || serpentear;girar;ponerse zalamera y provocativa
ñemokũnu'ũ || a || ser acariciado;ser mimado;ser querido;mimarse;hacerse el mimoso;deleitarse;regodearse
ñemokũruchĩ || a || ovillarse;encogerse por el frío;aterirse;acalambrarse
ñemokũsẽ || a || sacar o mostrar la lengua
ñemokyre'ỹ || a || animarse;enfervorizarse;alentarse;entusiasmarse
ñemokyrỹi || a || hacerse cosquillas;ponerse tierno
ñemoma'ẽ || a || hacerse mirar
ñemomandu'a || a || acordarse;hacerse memoria o recuerdo;hacerse recordar;rememorarse;conmemorarse
ñemomano || a || fingir estar muerto
ñemomarã || a || ser violado;engañarse de palabras;mancharse;ponerse reparos
ñemomarãngatu || a || santificarse;hacerse bueno;hacerse probo o santo
ñemomba || a || finalizar;clausurar;terminar;concluir
ñemomba'e || a || adueñarse;hacerse el dueño o propietario;apropiarse;enseñorearse;adquirir;usurpar;conquistar;ser cicatero exceso
ñemomba'embyasy || a || entristecerse;apesadumbrarse;afligirse;apenarse
ñemomba'erei || a || usurpar;invadir;apoderarse
ñemombarete || a || fortificarse;fortalecerse;hacerse fuerte;cobrar o restaurar las fuerzas;desperezarse;hacerse el prepotente
ñemombe || a || agacharse;gambetear;esquivarse;zafarse;aplastarse
ñemombe'u || a || confesarse;ser contado;ser informado;ser notificado;narrarse;declararse;relatarse;abrir el pecho interior
ñemombo || a || arrojarse;ser arrojado;echarse;tirarse;ser tirado;lanzarse;ser lanzado;abalanzarse
ñemomboriahu || a || hacerse del pobre
ñemombyky || a || acortarse;abreviarse;reducirse;encogerse
ñemombyta || a || ser detenido;detenerse;ser parado;pararse;ser paralizado;paralizarse;atajarse;retenerse;contenerse
ñemombyte || a || centralizarse
ñemomichĩ || a || humillarse;apocarse;achicarse;empequeñecerse;disminuirse;hacerse de menos
ñemomirĩ || a || humillarse;mostrar humildad
ñemomorã || a || hacerse bueno o lindo
ñemomora'ỹ || a || desaprobarse;no dar por bueno
ñemomorotĩ || a || blanquearse;emblanquecerse;pintarse de blanco
ñemomu || a || hacerse amigo
ñemona || a || embadurnarse;untarse;saturarse;empaparse;impregnarse;pegarse
ñemonambi || a || ponerse oreja;apresarse;encarcelarse;arrestarse
ñemonandi || a || vaciarse;desocuparse;soltarse;agotarse;despoblarse;desaguarse;excavarse
ñemonda || a || ser robado;robarse;hurtarse;ser hurtado;ser depredado;depredarse;expoliarse;ser expoliado;despojarse;ser despojado
ñemondo || a || remitirse;expedirse;mandarse;despacharse;comisionarse;enviarse;ser enviado
ñemondoho || a || cortarse;soltarse;romperse;hacerle perder a uno hasta el último céntimo
ñemondoro || a || romperse un género;romperse
ñemondýi || a || asustarse;espantarse;sobresaltarse;atemorizarse;aterrorizarse;sorprenderse;quedarse impresionado por algo sucedido
ñemondyikakuaa || a || asustarse enormemente
ñemondyryry || a || ser desgarrado
ñemone || a || volverse maloliente;hacerse hediondo;apestarse
ñemonga'aru/ñemboka'aru || a || hacerse tarde;llegar tarde
ñemonga'u || a || hacerse el ebrio;fingirse o hacerse el borracho;ser emborrachado;emborracharse
ñemongakuaa || a || hacerse grande;hacer crecer;aumentarse
ñemongarai || a || bautizarse;acristianarse;hacer bendecir
ñemongaráu || a || dislocarse
ñemongaria'y || a || hacerse joven;rejuvenecerse;simular ser joven
ñemongaru || a || alimentarse;ser alimentado;darse de comer
ñemongaruka/ñemongaruyka || a || hacerse dar de comer;hacerse alimentar
ñemonge || a || hacerse el dormido o hipnotizado;hacerse dormir;ser adormecido
ñemongele'e || a || adular
ñemongetahai || a || chatear;charlar
ñemongora || a || acorralarse;cercarse;sitiarse
ñemongu'e || a || moverse;arrancar;menearse;ser movido;movilizarse;ponerse en marcha;andar;empezar a andar;hacer caer;derribar;desprenderse;aflojar;disminuirse la firmeza
ñemongu'i || a || desmenuzarse;triturarse;pulverizarse
ñemongúi || a || caerse;echarse;ser desprendido
ñemongy'a || a || ensuciarse;mancharse;embadurnarse;deshonrarse;ser deshonrado;zullarse;emparcarse
ñemongyra || a || engordarse;ser engordado o cebado;engrasarse;cebarse
ñemono'õ || a || reunirse;juntarse;acumularse;sumarse;recogerse;acopiarse;cosecharse los frutos;cosechar
ñemyenyhẽ/ñemyanyhẽ/ñemuanyhẽ/ñemonyhẽ || a || llenarse
ñemoñarõ || a || hacerse bravo
ñemoate'ỹ/ñemoñate'ỹ || a || hacerse del perezoso
ñemoñe'ẽ || a || asesorar;aconsejar;sermonear;predicar;discursear;arengar;expresarse;amonestar
ñemoñe'ẽngu || a || hacerse del mudo
ñemoñe'ẽnguru || a || hacerse o ser rezongón o fingir serlo
ñemoñeko'õi || a || enojarse;ser abraviado
ñemoñemi || a || esconderse o ser escondido
ñemoñemyrõ || a || ofenderse;sentir la ofensa o fingirla;hacerse el enojado o resentido
ñemoñeno || a || ser puesto en cama;ponerse o ser acostado;hacer que se acueste
ñemoñesũ || a || ser arrodillado
ñemoñyrõ || a || ser desagraviado;desagraviarse;abuenarse;ponerse en plan de perdonar;ser aplacado;aplacarse;recobrarse
ñemopa'ã || a || atascarse;ajustarse;estancarse
ñemopẽ || a || romperse;partirse o dividirse;quebrarse
ñemopererĩ || a || adelgazar;adelgazarse;afinar
ñemopeteĩ || a || confederarse;unirse;unificarse;aunarse
ñemopirĩ || a || estremecerse;conmoverse
ñemopiro'ysã || a || refrescarse
ñemopore'ỹ || a || ausentarse;simular ausencia
ñemopotĩ || a || limpiarse;higienizarse;asearse;purificarse;recibir el aspersorio o tomar agua bendita
ñemopu'ã || a || ser levantado;hacerse levantar;hacerse alzar o elevar;ser progresado;abrirse paso;manifestarse
ñemopy'anga || a || preocuparse;inquietarse;estar con ansias o cuidado;afligirse
ñemopy'aratã || a || recobrar las fuerzas;hacerse el indolente
ñemopynandi || a || descalzarse o quitarse las medias
ñemopytã || a || pintar de rojo;volverse rojizo
ñemopytũ || a || anochecerse;oscurecerse;ponerse oscuro;entenebrecerse
ñemopytũmby || a || empezar a anochecer;entrar el crepúsculo;oscurecerse a medias
ñemoro'ysã || a || refrescarse;hacerse enfriar
ñemosã || a || atarse;ser atado con cuerda;encordarse;verse con trabas;perder la libertad
ñemosãena || a || hacer preparativos;hacer preparar;prepararse;aprontar;alistar;apestar para un viaje por lo general
ñemosarambi || a || desordenarse;esparcirse;ramificarse;desparramarse;desordenarse
ñemosẽ || a || ser echado;expulsarse;excluirse;desterrarse;desalojarse;destituirse
ñemosũsũ || a || conmoverse
ñemotano || a || estrenarse
ñemotenyhẽ || a || llenarse;henchirse;llegar a la plenitud;colmarse
ñemotĩ || a || avergonzarse;abochornarse;pasar por un bochorno o sofocón
ñemotĩcha'ĩ || a || hacer muecas o morisquetas arrugando la nariz;pelearse;querer engañar o burlarse;ser irónico
ñemotie'ỹ || a || decir groserias o hacerse el grocero o el desfachatado;insolentarse;ofender;insultar;faltar al respeto
ñemotĩĝua'ã || a || agusanarse
ñemotĩmbo || a || evaporarse;esfumarse;escaparse
ñemotĩndy || a || andar abatido
ñemotĩnga || a || chocar;dar de narices
ñemovã || a || ladearse;inclinarse;sesgarse;esquivar;evitar con la cabeza un golpe
ñemuasãi || a || desparramarse;propagarse;difundirse;desdoblarse;desarrollarse;diseminarse;divulgarse;publicarse
ñemuña || a || perseguirse;ser perseguido;ser seguido;criar;crear;reproducir;procrear;engendrar
ñemyaĝe || a || apresurarse;acelerarse
ñemyakãky'o || a || lavarse la cabeza;ser retado o amonestado
ñemyakuruchĩ || a || paralizarse;retorcerse;acurrucarse;tullirse;contracturarse;acalambrarse
ñemyakỹ || a || mojarse;enjuagarse;rociarse;empaparse;humedecerse
ñemyangekói || a || ser notificado;molestarse;fastidiarse;perturbarse;conmoverse
ñemyaña/ñemuaña || a || ser empujado;impelerse;empujarse
ñemyañamyaña || a || recibir varios empujones seguidos
ñemyañaña || a || dar empellones
ñemyasãi || a || extenderse;expandirse;tenderse;desplegarse;esparcirse;espaciarse;desparramarse;propagarse;difundirse;desdoblarse;desarrollarse;diseminarse;divulgarse;publicarse
ñemyatatĩ || a || convertirse en humo;quemarse en holocausto
ñemyatimói/ñemuatimói/ñemyatymói || a || hamacarse;columpiarse;acunarse;balancearse
ñemyatyrõ || a || componerse;arreglarse;repararse;reponerse;remediarse
ñemyendy || a || encenderse;abrazarse;iluminarse o perderse;ensoquetar;correr;pegar
ñemyengovia || a || cambiarse;ser cambiado;sustituirse;ser sustituido;reemplazarse;ser reemplazado;devolverse;pagarse;resarcirse;recompensarse
ñenohẽ || a || extraerse;ser extraido;sacarse;ser sacado ;extirparse;ser extirpado;quitarse;libertarse
ñenupã/ñeinupã || a || golpearse;castigarse
ñeñami || a || ordeñarse
ñeñanduka || a || hacerse sentir;hacerse respetar
ñeñangareko || a || cuidarse;protegerse;conservarse;tenerse en cuenta
ñeñani || a || correrse
ñeñapĩ || a || ser pelado o pelarse a sí mismo;ser trasquilado;cortarse el pelo
ñeñapĩuka || a || hacerse pelar;hacerse cortar el pelo
ñeñapytĩ || a || ser atado;atarse a sí mismo;sujetarse
ñeñapytĩuka || a || hacerse atar;sujetar
ñeñomi || a || ser ocultado;esconderse;ser robado;desaparecer
ñeñongatu || a || reservarse;reguardarse
ñeñopũ || a || ser rozado
ñeñotỹ || a || ser entendido
ñeñotỹha || a || lugar donde se planta o entierra
ñeñuvã || a || ser tapado;cubrirse;ser defendido;defenderse
ñeñuvãitĩ || a || ser encontrado;encontrarse mutuamente
ñeokẽnda || a || encerrarse
ñepa'ã || a || atascarse;ser retenido;espantarse
ñepẽhẽ'ã || a || partirse;ser partido;despedazarse;dividirse;ser dividido;segmentarse;fragmentarse
ñepia'ã || a || esforzarse;empeñarse;luchar;intentar;probar;pretender;poner voluntad en algo para que se lograra;forcejear;hacer algo con ahinco
ñepiarõ || a || analizar;hacer análisis de algo
ñepichãi || a || pellizcarse
ñepindýi || a || limpiarse el tracero
ñepohãno || a || remediarse
ñepombojuasa || a || cruzarse las manos
ñepombopu || a || palmotear;aplaudir
ñepome'ẽ || a || entregarse;darse;alargarse las manos para ayudar;derrochar;despilfarrar;ser generoso
ñepomoĩ || a || juntar las manos para rezar;pedir la bendición;pedir limosna
ñepopiã'ã || a || procurarse la vida;esforzarse en la vida por algo o por alguien
ñepopiã'o || a || quitarse el aguijón de la picadura de avispa;hablar claro;decir verdades duras;desahogarse
ñeporãndu || a || ser preguntado;preguntar;preguntarse;ser juzgado;ser examinado;examinarse
ñepovã || a || liar con algo la pava caliente para protegerse
ñepu'ã || a || erguirse;levantarse;sublevarse
ñepũã || a || sentir compasión;lamentar algún suceso triste o doloroso;compadecerse
ñepyapẽ'õ || a || cortarse las uñas de la mano
ñepysãpẽ'o || a || cortarse las uñas de los pies
ñepysyrõ || a || libertarse;librarse;salvarse
ñepytyvõ || a || ayudarse;ser ayudado
ñeroña || a || llevar algo corriendo
ñesũpẽhẽ || a || arrodillarse con una sola rodilla
ñetupãmbyhy || a || comulgar;tomar la sagrada comunión
ñetupãra || a || comulgar;tomar la sagrada comunión
ñetũ'o || a || sacarse el pique o la nigua
ñetupãnói || a || bendecirse
ñoatõi || a || avisarse mutuamente
ñoha'ã || a || pelearse;disputar
ñohẽ || a || derramar
ñohendu || a || oirse mutuamente
ñohuvaitĩ || a || encontrarse;toparse
ñokytĩ || a || cortarse recíprocamente
ñombo'e || a || enseñarse mutuamente
ñombohovake/ñombojovake || a || ser careados;enfrentarse cara a cara
ñomboja'o || a || repartirse algo entre sí
ñombojaru || a || bromear;jugar
ñomeno || a || pecar la mujer
ñomi || a || esconder
ñomoirũ || a || acompañarse unos a otros
ñomoirũrei || a || aconcubinarse
ñomokyrỹi || a || hacerse cosquillas mutuamente
ñomoña || a || perseguirse mutuamente
ñomotĩ || a || avergonzarse el uno del otro
ñonupã || a || golpearse;pegarse;apalearse mutuamente
ñoñangareko || a || cuidarse mutuamente;asistirse mutuamente
ñoñañuvã || a || abrazarse mutuamente
ñoñe'ẽme'ẽ || a || convenir;acordar una cosa mutuamente
ñopichãi || a || pellizcarse mutuamente
ñotĩ || a || extender y atar la hamaca frente a frente;atar uno frente a otro;poner frente a otro
ñotỹ || a || plantar;sembrar;enterrar;sepultar
ñovã || a || envolver
patuka || a || amasar;machucar;golpear la ropa al lavarla
poro'u || a || fornicar;copular;mantener una relación sexual;hacer el amor
poroheka || a || probocar incidentes
porojokuái || a || ocupar a alguien
porokuaa || a || tener conocimiento de la gente;conocer a la gente;saber distinguir
poroñandu || a || visitar;visitar a persona enferma;averiguar el estado de salud
aho'i || a || cubrir;atacar
akãrapu'ã || a || triunfar;prosperar;progresar;erguirse;enorgullecerse;tener prosperidad;levantar la cabeza
arandu || a || saber percibir las cosas;tener un censor para captar sobre las cosas;ser inteligente
asa || a || pasar;entrar;irse;superar;atravesar;sobrepasar;recorrer;penetrar
cha'e || a || simpatizar;aguantar a alguien;tener simpatía;causar simpatía;caer simpático;caer en gracia;querer;congeniar;sentir inclinación hacia una persona
gua || a || esquivar;eludir;cernerse;colar
gua'i || a || ladrar como indicio de algo especial
ĝue'ẽ || a || vomitar
<hague'o || a || pelar;depilar;trasquilar;esquilar;rapar;cortar el pelo;desplumar;sacar las plumas
hái || a || picar
<hapejoko || a || parar;salir al paso;crusarse;interceptar
<hapo'o || a || desarraigar;extirpar;arrancar;quitar de raíz
haru || a || dañar;descomponer;viciar;desgraciar;empeorar;maleficiar;alterar la esencia de algo
<hasy || a || doler;estar enfermo;enfermarse;costar;ser difícil
<havere || a || rozar;rasar;raspar;chamuscar;quemar superficialmente
<havira || a || pegar;castigar;azotar;zurrar;fustigar;flagelar;retar;reprender;reprochar;vapulear
<hechakuaa || a || considerar;reconocer;agradecer
<hechavai || a || andar en apuros;notar gravedad;verse en anormalidad
<hekopyty || a || conocer las mañas de alguien;adivinarle el gusto;llegar a ahondar en el conocimiento de alguien
<hendupa || a || percibir totalmente
<hesa'o || a || fijar la vista en algo o alguien;delegir de algo que linde de algo;elegir lo mejor
<hesa'ỹijo || a || desmotar;limpiar el algodón;analizar;hacer análisis de algo;explicar;aclarar
<hete || a || tener cuerpo;tener físico
<he'ỹi || a || rascar
<hovere || a || chamuscar;quemar superficialmente con la llama
<huĝuaitĩ || a || salir o ir al encuentro de alguien o algo;toparse;encontrarse
<hy'ái || a || sudar;transpirar;estar sudoroso
<hykuavo || a || derramar;verter;desaguar
<hykue || a || estar mojado;estar empapado;estar jugoso;tener jugo;tener líquido;tener zumo
ja'yvere || a || faltar el respeto al marido o a la esposa;traicionar;poner los cuernos;desacreditarse;causar desagrado
jahoga || a || ahogarse
jaojohéi || a || lavarse la ropa;lavar la ropa
japokói || a || agarrarse;agarrar;asir;coger;tomar;tomar algo;prender;capturar;atrapar;apoyar;apuntalar;coger;fornicar;juntarse carnalmente
japura || a || apresurarse;activar;acelerar;darse prisa
japyhara || a || saltar;atravesar;transponer un obstáculo;pasar por encima de cosas;saltar por encima de una barrera, cercado
jasyvo || a || nacer
jatapy || a || hacer fuego;prender o encender fuego;contrariar a alguien en su ausencia;incitar a uno contra otro;realizar una campaña opositoria;contradecir;intrigar;hablar mal de alguien;crear estado de excitación contra alguien
jaty || a || cubrir;tapar;enterrar ligeramente;sembrar;enterrar
joaju/juaju || a || unirse;unir;adherirse;enlazar;casar;acollarar;ensamblar;ajustar;juntar;emparejar;uncir;sujetar dos cosas juntas;añadirse;anudarse;enlazarse;adherirse;acollararse;ensamblarse;ajustarse;uncirse;juntarse;amontonarse;acumularse;recogerse;reunirse;encimarse;atesorarse;acapararse;recuperarse;recobrarse;volver a tener;casarse;emparejarse
joapy/juapy || a || añadirse;anudarse;unir dos cosas desunidas;añadir;recuperar;recobrar;volver a tener;anudar
joecha/juecha || a || verse recíprocamente el uno al otro;verse dos o más personas;encontrarse cara a cara;entrevistarse
jura || a || enlazar;lazar;atrapar;cazar;aprisionar;obligar;engañar
jurupe'a || a || abrir la boca
kaipa || a || incendiarse;destruirse incinerado
ka'u || a || emborracharse;embriagarse;estar borracho
kokuaa || a || saber andar;saber tratar al semejante;saber vivir
kuaaha'ã || a || estudiar;explorar;invesigar
maimbe || a || tostar en recipiente;torrar
mangea || a || comer mango
marika || a || cazar
nase || a || nacer
neĩ || a || acceder;aprobar;decir que sí
ñakã'o || a || decapitar;cortar la cabeza
ñakãrapu'ã || a || incorporarse;levantarse;levantar;sanarse;resurgirse;florecerse;erguirse o alzar la cabeza;enorgullecerse;progresar;prosperar;reaccionar reconvalecer;convalecer;levantarse la cabeza
ñami || a || ordeñar;exprimir;extraer el jugo;estrujar;explorar
ñamindu'u || a || rumiar;masticar ligeramente;mascar;roer;carcomer;morder;comer de a poquito;pensar;reflexionar;meditar;analizar;hacer un examen de conciencia
ñarõ || a || ladrar simplemente;criticar;embravecerse;enfurecerse;enojarse
ñatõi || a || afinar;tañer;tocar;ejecutar o pulsar un instrumento musical de cuerda;templar;golpear o tocar suavemente;incitar;estimular;beber un sorbo;punzar;hincar;azuzar;alarmar;avisar;poner en guardia;alertar
ñyvõ || a || clavar;flechar;tirar dardos
peka || a || separar;apartar dos hojas una de otra;ojear;abrir
pena || a || penar;preocuparse
pepirũ || a || invitar;convidar;ofrecer;ofertar;denotar
pete || a || dar palmaditas;palmear;acariciar;jugar;batir la pelota;tirar;pegar;golpear el artefacto usado en el juego del manga;pegar;golpear;castigar;arrojar al suelo o contra la pared;pelear
picha || a || pichar;fastidiar;abatatar;avergonzar;acobardar;abochornar
pichy || a || fregar;frotar;friccionar
piro || a || pelar
pokuaa || a || acostumbrar;habituar
pokyty || a || fregar con la mano;masajear;hacer o dar masaje
popo || a || brincar;saltar
poreka || a || buscar alguna cosa
poty || a || florecer
pyatã || a || estar fortalecido;fortalecer
pyguara || a || revolver por dentro;investigar;estudiar
rairõ/rãirõ || a || atacar;violar
syryku || a || sorber
tongea || a || dar un puñetazo;pegar con los puños;descansar
ty || a || echar;derrocar;derribar;desplomar;tumbar o hacer caer;arrojar;tirar
tyryry || a || arrastrarse
vevúi || a || flotar;nadar
'ẽ || a || rezumar;filtrar;segregar;trasudar;humedecerse
'yguy || a || ahogarse;hundirse;fracasar;zambullir
chi'õ || c || lloriquear;chillar;quejarse;rechinar;chirriar;reclamar lloriqueando;ser miserable
<hague || c || tener pelo
<hãimbe || c || ser filoso;ser cortante;estar afilado
<he'ẽmbochy || c || estar muy dulce o muy salado
<heterasy || c || tener el cuerpo dolorido
<ho'o || c || tener carne
<huguypa || c || desangrarse totalmente
<hyku || c || derritirse;estar derretido;estar licuado;estar disuelto;sorber
kerambu || c || roncar durmiendo;dormir dando ronquidos;roncar
ñapovõ || c || estar pegajoso;estar engomado;estar gomoso;estar viscoso;estar glutinoso
py'aporã || c || ser sincero
pytu || c || soplar;respirar
pytupa || c || expirar;fallecer;sucumbir;morir;desmayarse;desvanecerse
akãsã || c || estar preso;estar casado
chiã || c || rechinar;chirriar;chillar;lloriquear;llorar
chiko || c || chillar
<hembyre || c || tener resto;tener resíduo;tener sobra
<hemói || c || picar;dar comezón;dar picazón
<he'õngue || c || ser cadáver;estar muerto
hi'aju || c || estar maduro;madurarse
<hyevu || c || estar embarazada;estar aventado;tener el vientre hinchado
<hypy'ũ || c || ser espeso;ser denso;ser difícil de entender
<hyvi || c || desfibrar;sacar la fibra;deshilvanar;deshilar;sacar la hebra, el filamento o hilacha;ponerse en rápido movimiento;tomar impulso
asy || c || menstruar
ko'ẽmba || c || amanacer totalmente
kosina || c || cocinar
ku'i || c || esforzarse;deshacerse
kurundu || c || tener un poder mágico
py'andýi || c || estremecerse;impresionarse ante lo inesperado;conmoverse;asustarse
py'atytýi || c || estar perturbado;tener miedo
pya || c || trenzar
'yga/yga || c || filtrar;segregar;gotear;trasudar;rezumar;humedecerse;perder agua
ara || c || arar
<hekokatu || c || ser honrado;ser correcto;ser bondadoso;ser perfecto;tener perfección moral;tener vida buena y correcta;tener un auténtico y verdadero modo de ser
<hesa'yju || c || ser amarillo;estar pálido;palidecer
<ho'ysã || c || hacer frío;refrescar;enfriarse;helarse;refrigerarse;estar frío;estar fresco
<hyeguasu || c || embarazarse;estar embarazada;estar preñada
<hyepy || c || tener entrañas
ja || c || caber
ja || a || pegarse;arrimarse;acercarse;aproximarse;limitar
ke || a || dormir;pernoctar
ke || ai || entrar;penetrar;introducirse;ingresar;internarse;meterse;adentrarse;flanquear;invadir;irrumpir
mo'ã || ai || pensar;imaginar;creer
mo'ã || a || quitar la luz;ensombrecer;hacer sombra;cubrir;tapar;proteger;ocultar
po || c || tener mano
po || a || saltar
<hova || c || tener cara;tener rostro
<hova || a || mudar;trasladar
